"unique.author_name.","unique.author_href.","author_followers","author_plays","author_n_tracks"
"Beats of a Different Drum","https://www.beatstars.com/MR4487679","1","66","2"
"TheyLuvKj","https://www.beatstars.com/MR2577601","27","3.4k","29"
"KADDY","https://www.beatstars.com/MR1249282","4.3k","858.7k","39"
"Buckroll","https://www.beatstars.com/MR375341","80.2k","8.5M","1.4k"
"STORM","https://www.beatstars.com/MR3071499","32k","1M","54"
"prodbysylvester","https://www.beatstars.com/MR2866476","761","290.1k","74"
"JustDan","https://www.beatstars.com/MR1124770","37.7k","5.3M","322"
"Blanq Beatz","https://www.beatstars.com/MR67058","56.7k","3.1M","143"
"JpBeatz","https://www.beatstars.com/MR2021272","75.1k","3.3M","805"
"DXOR","https://www.beatstars.com/MR717118","30.3k","1.6M","383"
"Anywaywell","https://www.beatstars.com/MR201021","325.6k","17.4M","394"
"Danny Beats","https://www.beatstars.com/MR3058846","18.6k","1.1M","285"
"Rob EVN","https://www.beatstars.com/MR1777583","58.2k","1.8M","153"
"Dan Darmawan","https://www.beatstars.com/MR545852","5.9k","541k","69"
"prodm0rr1ss","https://www.beatstars.com/MR3523524","10.1k","436.2k","372"
"FishscaleBeatz","https://www.beatstars.com/MR793924","1k","235k","469"
"Yogic Beats","https://www.beatstars.com/MR900726","6.9k","786.8k","467"
"BEATS MAFIA","https://www.beatstars.com/MR4102516","3.2k","196.2k","122"
"PapaPedro","https://www.beatstars.com/MR1130004","13.1k","859.5k","193"
"SAYONARA","https://www.beatstars.com/MR1990452","726","307.5k","353"
"B@$h","https://www.beatstars.com/MR3230445","9.5k","453.5k","228"
"Fantom","https://www.beatstars.com/MR556372","246k","16.2M","1.2k"
"LAVISH","https://www.beatstars.com/MR241423","3.3k","260.9k","970"
"PALE1080","https://www.beatstars.com/MR603891","73.2k","2.1M","1.1k"
"BLACK LIONS BEATZ","https://www.beatstars.com/MR187095","43.1k","2.7M","81"
"Dae Wylder","https://www.beatstars.com/MR1270239","6.1k","397k","90"
"Deast","https://www.beatstars.com/MR1838579","260","93.9k","155"
"Jake Angel Beats","https://www.beatstars.com/MR1553410","22.9k","971.1k","281"
"Swisher Beats","https://www.beatstars.com/MR255903","14.7k","3.6M","478"
"waytoolost","https://www.beatstars.com/MR734367","270.7k","14M","3k"
"mantra","https://www.beatstars.com/MR107267","367.5k","24.3M","692"
"Buskie Prod","https://www.beatstars.com/MR3731207","406","146.9k","11"
"Kane Beats","https://www.beatstars.com/MR2983482","31.5k","1.3M","63"
"yngflam","https://www.beatstars.com/MR2505872","2.7k","135.3k","69"
"Desirez","https://www.beatstars.com/MR383338","2.6k","228.4k","145"
"Rxkz","https://www.beatstars.com/MR732375","15.7k","1.8M","965"
"Donnie Katana","https://www.beatstars.com/MR830252","33.6k","5.2M","362"
"fissBass","https://www.beatstars.com/MR3219836","1.1k","52.1k","57"
"Cold Melody","https://www.beatstars.com/MR1492695","66k","1.2M","348"
"Ryini Beats","https://www.beatstars.com/MR202803","54.7k","4.9M","1.3k"
"CLASSY","https://www.beatstars.com/MR307685","2.6k","248.4k","122"
"IOF","https://www.beatstars.com/MR522368","27.9k","3.1M","508"
"Ej Fya","https://www.beatstars.com/MR662614","1.9k","104.6k","43"
"BigBadBeats","https://www.beatstars.com/MR624376","119.9k","3.1M","393"
"SHYY","https://www.beatstars.com/MR1663250","5.9k","272.5k","316"
"producerxbeats","https://www.beatstars.com/MR4045943","774","111.6k","85"
"2S","https://www.beatstars.com/MR777950","1k","181.9k","640"
"Skirmisher Beats","https://www.beatstars.com/MR258292","25.6k","827.3k","559"
"llouis","https://www.beatstars.com/MR1030907","110.6k","2.5M","278"
"southharbormusic","https://www.beatstars.com/MR3396146","1.7k","45.5k","97"
"CERTIBEATS","https://www.beatstars.com/MR320696","62.3k","3.1M","640"
"CEDES","https://www.beatstars.com/MR575417","173.6k","5.5M","729"
"BlackSurfer","https://www.beatstars.com/MR225891","17.3k","943.6k","1.2k"
"Ahnboi","https://www.beatstars.com/MR2689137","10.2k","338.3k","143"
"Narvaza","https://www.beatstars.com/MR2921699","1.8k","59.5k","161"
"MSRY","https://www.beatstars.com/MR3849005","398","76.9k","46"
"Skeyez","https://www.beatstars.com/MR206695","114.2k","2.6M","487"
"Dagger Beats","https://www.beatstars.com/MR2320120","8.4k","417.8k","210"
"LethalNeedle","https://www.beatstars.com/MR564470","14.6k","1.8M","554"
"lao35records","https://www.beatstars.com/MR3445599","1.5k","55k","35"
"jvlestrada","https://www.beatstars.com/MR3678882","46","12.4k","23"
"Jostopac","https://www.beatstars.com/MR1483661","1.7k","342.5k","249"
"prodbylxcid","https://www.beatstars.com/MR2539218","294","85.2k","222"
"KOFI COOKS","https://www.beatstars.com/MR395447","21k","4.3M","210"
"Track PROS","https://www.beatstars.com/MR19472","37.8k","7.6M","629"
"Encore","https://www.beatstars.com/MR143032","47.9k","3.8M","284"
"bvtman","https://www.beatstars.com/MR521243","81k","2.1M","969"
"Rebbel","https://www.beatstars.com/MR383928","71.7k","1.8M","66"
"BachBeats","https://www.beatstars.com/MR132484","20.7k","4.3M","485"
"Pieper Beats","https://www.beatstars.com/MR585912","37.4k","1M","439"
"Eastbird","https://www.beatstars.com/MR1706424","10.7k","716.6k","261"
"COBRA.","https://www.beatstars.com/MR375543","63.3k","1.7M","392"
"Webz Beats","https://www.beatstars.com/MR726072","494","6.5k","9"
"DeeMarc","https://www.beatstars.com/MR165580","55.1k","2.6M","586"
"Kosfinger","https://www.beatstars.com/MR1109926","5.7k","387.7k","341"
"Cyclope Beatz","https://www.beatstars.com/MR1829010","28.7k","536.7k","360"
"Klein","https://www.beatstars.com/MR775550","5.8k","455.1k","467"
"DXEM","https://www.beatstars.com/MR2062557","753","113.2k","261"
"Diamond Style","https://www.beatstars.com/MR32877","51.8k","5.3M","922"
"Lesko","https://www.beatstars.com/MR3901372","18","5.4k","21"
"1998 Beats","https://www.beatstars.com/MR328650","7.3k","477.7k","523"
"ProdSammarco","https://www.beatstars.com/MR3004229","160","59.9k","4"
"RC Beats","https://www.beatstars.com/MR540639","28.2k","980.5k","328"
"Winiss Beats","https://www.beatstars.com/MR198401","1.4k","59.6k","167"
"Take45","https://www.beatstars.com/MR3734670","7.2k","214.8k","32"
"Anyvibe (Kabu Beats)","https://www.beatstars.com/MR674860","22.9k","1M","226"
"mommasboy","https://www.beatstars.com/MR3830687","67","19.1k","47"
"BrokeBoi","https://www.beatstars.com/MR142249","15.7k","944.3k","696"
"Parrasu","https://www.beatstars.com/MR3186718","65","19.9k","90"
"kid fashionn","https://www.beatstars.com/MR3448944","474","114.7k","10"
"SteveRawd","https://www.beatstars.com/MR905082","5.9k","327k","280"
"F8ENTERTAINMENT","https://www.beatstars.com/MR688815","9.2k","498.2k","181"
