"","artist","title"
"1","morgenshtern","cristal & моёт"
"2","big baby tape","kari"
"3","скриптонит","чистый"
"4","slava marlow","по глазам"
"5","uncleflexxx","camry 3.5"
"6","morgenshtern; slava marlow","быстро"
"7","kizaru","дежавю"
"8","slava marlow; mk","нет проблем"
"9","король и шут","кукла колдуна"
"10","скриптонит","положение"
"11","скриптонит","москва любит..."
"12","дора","втюрилась"
"13","канги","эйя"
"14","mnogoznaal","колхозник"
"15","face","рэйман"
"16","lil krystalll","шенген"
"17","ваня дмитриенко","венера-юпитер"
"18","miyagi & andy panda","minor"
"19","gone.fludd","пацаны ii"
"20","тима белорусских","окей"
"21","morgenshtern; элджей","cadillac"
"22","anikv; saluki","меня не будет"
"23","miyagi & andy panda","all the time"
"24","morgenshtern; тимати","el problema"
"25","miyagi & andy panda","не жалея"
"26","big baby tape","errday"
"27","morgenshtern; lil pump","watafuk?!"
"28","boulevard depo","friendly fire"
"29","sqwoz bab; the first station","ауф"
"30","hensy","поболело и прошло"
"31","soda luv; bushido zho","коми"
"32","ramil’","сияй"
"33","анет сай","слёзы (ost ""пацанки"")"
"34","rocket","infinite tsukuyomi"
"35","лсп","номера"
"36","soda luv","хотбокс"
"37","konfuz","кайф ты поймала"
"38","rakhim","fendi"
"39","mayot; bushido zho; seemee","ауди"
"40","internet money; don toliver; nav; gunna","lemonade"
"41","король и шут","дурак и молния"
"42","slava marlow; элджей","злой"
"43","gone.fludd","проснулся в темноте"
"44","скриптонит","это любовь"
"45","kizaru","block baby"
"46","tini lin; babylaurenne","последний танец"
"47","dabro","юность"
"48","kostromin","моя голова винтом"
"49","slava marlow","ты горишь как огонь"
"50","seemee; soda luv","голодный пёс"
"51","лсп","есть деньги, нет чувств"
"52","папин олимпос","динозаврики"
"53","t-fest","как дела"
"54","konfuz","ратата"
"55","lildrughill; rocket","терминал"
"56","dorofeeva","gorit"
"57","soda luv","блэсс гад"
"58","moneyken","она не любит вино"
"59","og buda; тима белорусских","потерял себя"
"60","mayot","лилия"
"61","rakhim","синий lamborghini"
"62","pharaoh","эми"
"63","егор крид","голос"
"64","obladaet","david beckham"
"65","пошлая молли","контракт"
"66","jojohf","губы"
"67","morgenshtern; yung trappa","family"
"68","lil krystalll","+44"
"69","soda luv","go! смув"
"70","10age","нету интереса"
"71","gone.fludd","chill"
"72","pharaoh","всему свое время"
"73","султан лагучев","горький вкус"
"74","obladaet","for mula"
"75","pharaoh","нет сердца"
"76","miyagi & andy panda","патрон"
"77","soda luv","бигасс"
"78","saluki; 104; anikv; билик","лавэ"
"79","jamik; pussykiller","франция"
"80","ramil’","сон"
"81","fem.love","фотографирую закат"
"82","thrill pill","миллионы"
"83","zhanulka","кискис"
"84","104; miyagi; скриптонит","не жаль"
"85","мот; jony","лилии"
"86","soda luv; og buda","g-shokk"
"87","макс барских; zivert","bestseller"
"88","dead blonde","мальчик на девятке"
"89","егор шип","dior"
"90","andro; скриптонит","dragon"
"91","morgenshtern","дуло"
"92","morgenshtern","show"
"93","kizaru; big baby tape","stick out"
"94","morgenshtern; soda luv; mayot; og buda","cristal & моёт (remix)"
"95","dead blonde","бесприданница"
"96","og buda; mayot","добро пожаловать"
"97","jeembo; boulevard depo","в.о.л.к."
"98","ooes","зима"
"99","slava marlow","кому это надо?"
"100","og buda; polyana","старшие"
"101","лилу45","восемь"
"102","og buda; платина","воссап"
"103","morgenshtern","pablo"
"104","тима белорусских","тебе лучше не знать"
"105","егор крид","(не)идеальна"
"106","fleur","формалин"
"107","скриптонит; 104","цепи"
"108","og buda; егор крид; soda luv; mayot","сайфер"
"109","джарахов; markul","я в моменте"
"110","morgenshtern","aristocrat"
"111","lovv66","трап трап"
"112","branya; macan","пополам"
"113","miyagi & andy panda; tumaniyo","оттепель"
"114","morgenshtern","olala"
"115","morgenshtern","dinero"
"116","элджей","candy flip"
"117","егор крид; og buda","здравствуйте"
"118","morgenshtern","hublot"
"119","mekhman","копия пиратская"
"120","gone.fludd","плохая сука"
"121","morgenshtern","nominalo"
"122","pretty scream; mayot","ты"
"123","порнофильмы","я так соскучился"
"124","баста","ты была права"
"125","slava marlow","camry 3.5"
"126","скриптонит","будьте здоровы"
"127","morgenshtern","gta"
"128","10age","пушка"
"129","fem.love","1000-7"
"130","егор крид","pussy boy"
"131","mayot","в моих мыслях"
"132","hammali & navai","у окна"
"133","matrang","патриархат"
"134","dabro","на часах ноль-ноль"
"135","miyagi & andy panda; tumaniyo","brooklyn"
"136","егор крид; гуф","автомат"
"137","джиган; егор крид; тимати; гуф; the limba; blago white; soda luv; og buda","на чиле"
"138","скриптонит; райда","baby mama"
"139","instasamka","juicy"
"140","guma","стеклянная"
"141","платина; big baby tape","веном"
"142","slava marlow; элджей; the limba","она тебя любит"
"143","платина; og buda; mayot","abu dhabi baby"
"144","индаблэк; скриптонит; rodionis; qurt","цифры"
"145","obladaet; jeembo","hella players"
"146","the limba; rakhim","хентай"
"147","artik & asti","она не я"
"148","платина","на грязном"
"149","lovv66; скриптонит","мне по*уй"
"150","instasamka","lipsi ha"
"151","escape; даня милохин","so low"
"152","макс корж","не твой"
"153","nikitata","таймаут"
"154","мот","август - это ты"
"155","элджей; пошлая молли","дом периньон"
"156","gspd; dead blonde","у россии три пути"
"157","og buda","не приходи"
"158","wenaro; lxner","лёд"
"159","gone.fludd","тени хиросимы"
"160","10age","зоопарк"
